Year,Tsu,Location Name,Latitude,Longitude
1900,Terjadi Tsunami,INDONESIA:  GALELA (HALMAHERA ISLAND),-0.03,127.25
1900,Tidak Terjadi Tsunami,INDONESIA:  JAVA:  SUKABUMI,-6.84,106.96
1900,Terjadi Tsunami,INDONESIA:  NW. IRIAN JAYA,-4,140
1903,Tidak Terjadi Tsunami,INDONESIA:  S OF JAVA,-8,106
1903,Terjadi Tsunami,"INDONESIA:  TIFU, MASARETE, KAJELI",-3,127.5
1904,Terjadi Tsunami,INDONESIA:  S. JAVA,-7.7,109
1905,Tidak Terjadi Tsunami,INDONESIA:  MINAHASSA PENINSULA,1,123
1907,Terjadi Tsunami,"INDONESIA:  NW SUMATRA:  GUNUNGSITOLi, BARUS",2.681,95.53
1907,Terjadi Tsunami,INDONESIA:  TALAUD ISLANDS:  KARAKELONG ISLAND,3,122
1907,Tidak Terjadi Tsunami,INDONESIA:  DJAILOLO GILOLO,1,127
1907,Tidak Terjadi Tsunami,"INDONESIA:  SULAWESI:  LEMO, COLO, ANJA, OLU CONGKO",-2,121
1908,Terjadi Tsunami,SW. SUMATRA,-2,100
1908,Terjadi Tsunami,INDONESIA:  TIMOR,-10,129
1908,Tidak Terjadi Tsunami,INDONESIA:  CELEBES SEA,3,123
1909,Terjadi Tsunami,"INDONESIA:  SW SUMATRA:  KERINTJI, REDJANGLEBONG",-2,101
1910,Tidak Terjadi Tsunami,INDONESIA:  TALAUD ISLANDS,4.5,126
1910,Terjadi Tsunami,INDONESIA:  SULAWESI-N. MOLUCCAS ISLANDS,4,127
1913,Terjadi Tsunami,INDONESIA:  SANGIHE ISLAND,5.354,126.121
1914,Terjadi Tsunami,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  JAPEN,-1.829,136.943
1914,Terjadi Tsunami,INDONESIA:  SUMATERA,-3.924,101.82
1915,Terjadi Tsunami,INDONESIA:  KAIMANA,-3.644,133.695
1915,Terjadi Tsunami,INDONESIA:  NW. IRIAN JAYA,-1,136
1916,Tidak Terjadi Tsunami,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-3,136
1916,Tidak Terjadi Tsunami,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-3,135.5
1916,Tidak Terjadi Tsunami,INDONESIA:  JAVA,-9,113
1917,Terjadi Tsunami,INDONESIA:  BALI,-7,116
1917,Tidak Terjadi Tsunami,INDONESIA:  BANDA SEA,-7.5,128
1918,Tidak Terjadi Tsunami,INDONESIA:  BANDA SEA,-7,129
1919,Terjadi Tsunami,INDONESIA:  IRIAN JAYA REGION,-2.55,140.75
1920,Terjadi Tsunami,INDONESIA:  N. MOLUCCAS ISLANDS,0.87,122.92
1921,Terjadi Tsunami,"INDONESIA:  SANGKULIRANG,RENDING,KARIORANG,SEKURAN",0.7,117.9
1921,Terjadi Tsunami,INDONESIA:  S OF JAVA,-11,111
1921,Tidak Terjadi Tsunami,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  SENTANI,-2.3,138.8
1922,Terjadi Tsunami,INDONESIA:  BANDA,-3.3,128.9
1922,Terjadi Tsunami,SW. SUMATRA,-1,100.35
1922,Terjadi Tsunami,"LHOKNGA, ACEH",5.5,95.2
1923,Tidak Terjadi Tsunami,INDONESIA:  JAVA:  MAOS,-7.7,109.2
1923,Tidak Terjadi Tsunami,INDONESIA:  DJAILOLO GILOLO,-1.75,128.75
1924,Tidak Terjadi Tsunami,INDONESIA:  JAVA,-7.3,109.8
1924,Tidak Terjadi Tsunami,INDONESIA:  JAVA:  WONOSOBO,-7.3,109.9
1925,Terjadi Tsunami,INDONESIA:  BANDA SEA,-8,115
1926,Terjadi Tsunami,INDONESIA:  SUMATERA,-0.7,100.6
1926,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA,-0.3,100.4
1926,Tidak Terjadi Tsunami,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-3.5,138.5
1926,Tidak Terjadi Tsunami,"INDONESIA:  JAVA:  PRUPUK,MARGARSARI,DUBUKTENGAH",-7.1,109
1927,Terjadi Tsunami,INDONESIA:  SULAWESI:  DONGGALA,-0.7,119.7
