Year,Tsu,Location Name,Latitude,Longitude,Focal Depth (km),Mag
1983,Tidak Terjadi Tsunami,INDONESIA:  SUMATERA:  BANDA ACEH,5.723,94.722,79,6.6
1983,Tidak Terjadi Tsunami,INDONESIA:  CELEBES:  MINAHASSA:  TOLITOLI,1.084,121.052,40,6
1983,Tidak Terjadi Tsunami,INDONESIA:  CENTRAL SULAWESI,1.131,120.858,33,6.1
1984,Terjadi Tsunami,INDONESIA:  SULAWESI:  W,-2.823,118.806,33,6.6
1984,Tidak Terjadi Tsunami,INDONESIA:  N SUMATERA:  TARUTUNG,1.761,99.075,33,5.2
1985,Terjadi Tsunami,"INDONESIA:  DENPASAR, BALI",-9.245,114.185,99,6.2
1985,Tidak Terjadi Tsunami,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  ENAROTALI,-4.13,136.049,10,6.3
1985,Tidak Terjadi Tsunami,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  MANOKWARI,-1.639,134.911,10,7.1
1986,Tidak Terjadi Tsunami,"INDONESIA:  SUMATERA:  S, HAHAT, MUARAENIM",-3.904,103.461,33,5
1987,Tidak Terjadi Tsunami,"INDONESIA:  SUMATERA:  N, TARUTUNG-LAKE TOBA,",2.244,98.866,11,6.6
1987,Terjadi Tsunami,"INDONESIA:  TIMOR:  PANTAR, MOUNT SIRUNG",-8.247,124.155,33,6.5
1989,Tidak Terjadi Tsunami,"INDONESIA:  MOLUCCA PASSAGE:  MOROTAI, TANAWANGU",1.031,126.189,32,5.6
1989,Tidak Terjadi Tsunami,INDONESIA:  TIMOR:  ALOR,-8.081,125.129,10,6.2
1989,Tidak Terjadi Tsunami,"INDONESIA:  KURIMA DISTRICT, BALIEM RIVER",-4.511,139.022,14,5.8
1989,Tidak Terjadi Tsunami,INDONESIA:  TEMBAGAPURA,-4.219,136.667,9,6
1990,Tidak Terjadi Tsunami,INDONESIA:  MINAHASSA PENINSULA: BOLAANG-GORONTALO,1.186,122.857,26,7.6
1990,Tidak Terjadi Tsunami,"INDONESIA:  JAVA:  W, KUNINGAN, MAJALENGA",-6.904,108.12,14,4.8
1990,Tidak Terjadi Tsunami,"INDONESIA:   N SUMATERA, BLANGKEJEREN, KUTACANE",3.908,97.457,48,6.8
1991,Tidak Terjadi Tsunami,"INDONESIA:  MINAHASSA:  GORONTALO, MAMADO",1.196,122.787,31,7.5
1991,Tidak Terjadi Tsunami,"INDONESIA:  TIMOR:  KALABAHI, DILI",-8.099,124.681,29,6.5
1992,Tidak Terjadi Tsunami,"INDONESIA:  JAWA, BREBES",-7.138,109.067,58,4.4
1992,Terjadi Tsunami,"INDONESIA:  FLORES REGION, MAUMERE, BABI",-8.48,121.896,28,7.8
1994,Terjadi Tsunami,INDONESIA:  KAU,1.015,127.733,20,7
1994,Tidak Terjadi Tsunami,"INDONESIA:  SOUTHERN SUMATERA, LIWA, LAMPUNG",-4.967,104.302,23,6.9
1994,Terjadi Tsunami,INDONESIA:  JAVA,-10.477,112.835,18,7.8
1994,Terjadi Tsunami,INDONESIA:  JAVA,-10.362,112.892,26,6.6
1994,Terjadi Tsunami,INDONESIA:  JAVA,-10.777,113.366,11,6.5
1994,Terjadi Tsunami,INDONESIA:  JAVA,-10.341,113.369,17,6.1
1994,Terjadi Tsunami,INDONESIA:  HALMAHERA,-1.258,127.98,17,6.8
1995,Tidak Terjadi Tsunami,INDONESIA:  IRIAN JAYA REGION,-4.183,135.109,33,6.9
1995,Terjadi Tsunami,"INDONESIA:  TIMOR, DILI, MALIANA, MAUBARA",-8.452,125.049,13,6.9
1995,Tidak Terjadi Tsunami,"INDONESIA:  SUMATERA, JAMBI PROVINCE",-2.045,101.436,33,6.8
1996,Terjadi Tsunami,"INDONESIA:  SULAWESI: MINAHASSA PENINSULA, TOLITOLI",0.729,119.931,24,7.9
1996,Terjadi Tsunami,"INDONESIA:  NEW GUINEA:  IRIAN JAYA:  BIAK, SUPIORI",-0.891,136.952,33,8.2
1997,Tidak Terjadi Tsunami,"INDONESIA:  N. SUMATERA, ACEH, BANDA ACEH, MEDAN",4.358,96.494,33,6
1997,Tidak Terjadi Tsunami,"INDONESIA:  SULAWESI, PAREPARE",-3.776,119.727,33,5.9
1997,Tidak Terjadi Tsunami,"INDONESIA:  SULAWESI:  MINAHASSA PENINSULA,GORONTALO",1.241,122.536,24,7
1998,Tidak Terjadi Tsunami,"INDONESIA:  JAWA, MALANG, BLITAR, BANTUR",-8.194,112.413,152,6.6
1998,Terjadi Tsunami,"INDONESIA:  MANGOLE, MANADO, TALIABU",-2.071,124.891,33,7.7
1999,Tidak Terjadi Tsunami,"INDONESIA:  PANDEGLANG, W JAWA, SE SUMATERA",-6.845,105.555,56,6.5
2000,Terjadi Tsunami,"INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,",-1.105,123.573,26,7.6
2000,Tidak Terjadi Tsunami,"INDONESIA:  SUMATRA:  BENGKULU, ENGGANO",-4.721,102.087,33,7.9
2000,Tidak Terjadi Tsunami,INDONESIA:  SOUTHERN SUMATERA:  LAHAT,-4.612,101.905,33,6.7
2000,Tidak Terjadi Tsunami,"INDONESIA: JAWA:BANDUNG,CIBADAK,CIMANDIRI,KADUDAMPIT",-6.675,106.845,33,5.4
2001,Tidak Terjadi Tsunami,INDONESIA:  BANDA SEA,-4.102,123.907,33,7.5
2002,Tidak Terjadi Tsunami,INDONESIA:   SULAWESI:  TOJO,-1.196,121.333,10,6.2
2002,Tidak Terjadi Tsunami,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  RANSIKI,-1.68,134.234,10,6.4
2002,Terjadi Tsunami,"INDONESIA: NEW GUINEA: MANOKWARI, ORANSBARI, RANSIKI",-1.757,134.297,10,7.6
2002,Tidak Terjadi Tsunami,INDONESIA:  SUMATERA:  SIMEULUE,2.824,96.085,30,7.3
2003,Tidak Terjadi Tsunami,INDONESIA:  SUMBAWA ISLAND:  DOMPU,-8.807,118.524,33,5.5
2003,Tidak Terjadi Tsunami,"INDONESIA:  JAVA:  CARACAS, CILIMUS, SAMPORA",-6.983,108.468,33,4.6
2003,Tidak Terjadi Tsunami,INDONESIA:  FLORES:  REO,-8.294,120.743,33,6.5
2003,Tidak Terjadi Tsunami,"INDONESIA:  MOROTAI, BEREBERE, DARUBA",2.354,128.855,31,7
2003,Tidak Terjadi Tsunami,INDONESIA:  HALMAHERA:  WASILE,1.142,128.152,10,6
2003,Tidak Terjadi Tsunami,"INDONESIA:  FLORES, RUTENG",-8.137,120.524,33,4.9
2004,Tidak Terjadi Tsunami,"INDONESIA:  BALI, LOMBOK",-8.31,115.788,45,5.8
2004,Terjadi Tsunami,INDONESIA:  SERAM,-3.12,127.4,17,6.7
2004,Tidak Terjadi Tsunami,INDONESIA:  NABIRE,-3.615,135.538,17,7
2004,Tidak Terjadi Tsunami,INDONESIA:  NABIRE,-4.003,135.023,10,7.3
2004,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA:  PADANGPANJANG,-0.466,100.655,56,5.1
2004,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA:  PESISIR SELATAN,-1.559,100.488,42,6
2004,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA:  PADANG,-1.549,100.54,66,5.4
2004,Tidak Terjadi Tsunami,INDONESIA:  BALI,-8.669,114.65,96,5.5
2004,Tidak Terjadi Tsunami,INDONESIA:  TIMOR: KUPANG,-9.362,122.839,66,6.7
2004,Terjadi Tsunami,INDONESIA:  KEPULAUAN ALOR,-8.152,124.868,10,7.5
2004,Tidak Terjadi Tsunami,INDONESIA:  NABIRE,-3.609,135.404,10,7.1
2004,Terjadi Tsunami,INDONESIA:  SUMATRA:  ACEH:  OFF WEST COAST,3.316,95.854,30,9.1
2005,Tidak Terjadi Tsunami,INDONESIA:  SULAWESI:  PALU,-1.198,119.933,11,6.3
2005,Tidak Terjadi Tsunami,INDONESIA:  JAVA:  GARUT,-7.037,107.819,15,4.8
2005,Terjadi Tsunami,INDONESIA:  SUMATERA:  SW,2.085,97.108,30,8.6
2005,Terjadi Tsunami,INDONESIA:  PADANG,-1.644,99.607,19,6.7
2005,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI,1.819,97.082,21,6.7
2005,Tidak Terjadi Tsunami,INDONESIA:  SULAWESI:  DONGGALA,-1.174,119.963,32,5.9
2005,Tidak Terjadi Tsunami,INDONESIA:  TIMOR:  TIMOR TENGAH UTARA,-9.948,124.48,10,5.3
2006,Tidak Terjadi Tsunami,INDONESIA:  BANDA SEA,-5.473,128.131,397,7.6
2006,Terjadi Tsunami,INDONESIA:  SERAM,-3.595,127.214,30,6.7
